Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88
HFD14_2 - illumina_universal_adapter	2.70696189996e-05	2.70696189996e-05	2.70696189996e-05	4.5116031666e-05	4.5116031666e-05	4.5116031666e-05	4.5116031666e-05	4.5116031666e-05	4.5116031666e-05	4.5116031666e-05	4.96276348326e-05	5.41392379992e-05	8.12088569989e-05	0.000108278475998	0.000144371301331	0.000189487332997	0.000248138174163	0.000288742602663	0.000333858634329	0.000392509475495	0.000514322760993	0.000609066427492	0.00074441452249	0.000870739411155	0.00101511071249	0.00115948201382	0.00129934171198	0.00147529423548	0.00160161912414	0.00175050202864	0.00193096615531	0.00212947669464	0.00232798723397	0.00250845136063	0.00266635747146	0.00288291442346	0.00312202939129	0.00329347031162	0.00349198085095	0.00365891016812	0.00384839750111	0.00403788483411	0.00425895338927	0.00443941751594	0.00455671919827	0.00464243965844	0.015596612147	0.0628195624918	0.103333758928
HFD16_1 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.97472636284e-06	8.97472636284e-06	8.97472636284e-06	8.97472636284e-06	8.97472636284e-06	8.97472636284e-06	8.97472636284e-06	1.34620895443e-05	1.79494527257e-05	2.24368159071e-05	3.14115422699e-05	3.58989054513e-05	3.58989054513e-05	3.58989054513e-05	5.3848358177e-05	6.28230845399e-05	6.28230845399e-05	7.17978109027e-05	7.17978109027e-05	8.97472636284e-05	0.000116671442717	0.000116671442717	0.000116671442717	0.000116671442717	0.000116671442717	0.000116671442717	0.000130133532261	0.000143595621805	0.00015705771135	0.000170519800894	0.000170519800894	0.000179494527257	0.000183981890438	0.000201931343164	0.000224368159071	0.000242317611797	0.000242317611797	0.000260267064522	0.000278216517248	0.0288806694356	0.143896275139	0.234294206428
HFD16_2 - illumina_universal_adapter	0.0	1.79494527257e-05	1.79494527257e-05	2.69241790885e-05	2.69241790885e-05	2.69241790885e-05	2.69241790885e-05	2.69241790885e-05	2.69241790885e-05	2.69241790885e-05	4.48736318142e-05	8.07725372655e-05	0.000112184079535	0.000130133532261	0.000139108258624	0.000166032437712	0.000192956616801	0.000228855522252	0.000278216517248	0.000309628059518	0.000363476417695	0.000426299502235	0.0005070720395	0.000641692934943	0.00075836437766	0.000879523183558	0.000978245173549	0.00109940397945	0.0012564616908	0.00146736776032	0.00160647601895	0.00175904636712	0.00197892716301	0.00215842169026	0.00233342885434	0.00247253711296	0.00262510746113	0.00279113989884	0.0029212734311	0.003091793232	0.00329821193834	0.00344180756015	0.00357194109241	0.00366617571922	0.00375143561967	0.00388605651511	0.032847498488	0.14907469225	0.240217525828
HFD24_1 - illumina_universal_adapter	0.0	0.0	0.0	1.80595077032e-05	1.80595077032e-05	1.80595077032e-05	1.80595077032e-05	1.80595077032e-05	1.80595077032e-05	2.70892615549e-05	2.70892615549e-05	4.51487692581e-05	6.32082769613e-05	6.32082769613e-05	6.32082769613e-05	6.32082769613e-05	6.32082769613e-05	6.32082769613e-05	7.2238030813e-05	7.2238030813e-05	8.57826615904e-05	9.02975385162e-05	9.02975385162e-05	9.93272923678e-05	0.000108357046219	0.000126416553923	0.000126416553923	0.000126416553923	0.0001399611847	0.000148990938552	0.000153505815478	0.000162535569329	0.000162535569329	0.000162535569329	0.000180595077032	0.000189624830884	0.000203169461661	0.000212199215513	0.000221228969365	0.000257347984771	0.000266377738623	0.000284437246326	0.000297981877103	0.000316041384807	0.000325071138658	0.000343130646362	0.0125287834691	0.0662196998708	0.111363954252
HFD24_2 - illumina_universal_adapter	2.70892615549e-05	2.70892615549e-05	2.70892615549e-05	2.70892615549e-05	2.70892615549e-05	2.70892615549e-05	2.70892615549e-05	2.70892615549e-05	2.70892615549e-05	2.70892615549e-05	4.51487692581e-05	8.12677846646e-05	0.000103842169294	0.000144476061626	0.000171565323181	0.000216714092439	0.000284437246326	0.00033410089251	0.00047406207721	0.000586934000355	0.000726895185055	0.000916520015939	0.00108357046219	0.00125062090845	0.001399611847	0.00158020692403	0.00174725737029	0.00193688220117	0.00206781363202	0.00224840870905	0.00245609304764	0.00266829226315	0.00288049147867	0.00306560143262	0.00323716675581	0.00343582134054	0.00364350567913	0.00384667514079	0.00405435947938	0.00427558844874	0.00448327278733	0.00471353151055	0.00492121584913	0.00507020678768	0.00527789112627	0.00540430768019	0.0177886150877	0.0722560903207	0.117964704318
HFD25_1 - illumina_universal_adapter	0.0	0.0	0.0	9.01630653134e-06	9.01630653134e-06	9.01630653134e-06	9.01630653134e-06	9.01630653134e-06	9.01630653134e-06	9.01630653134e-06	9.01630653134e-06	9.01630653134e-06	9.01630653134e-06	9.01630653134e-06	2.7048919594e-05	3.15570728597e-05	3.60652261254e-05	3.60652261254e-05	4.95896859224e-05	6.31141457194e-05	6.31141457194e-05	6.31141457194e-05	6.31141457194e-05	6.31141457194e-05	6.31141457194e-05	8.11467587821e-05	9.91793718447e-05	0.000108195678376	0.000117211984907	0.000117211984907	0.000117211984907	0.000117211984907	0.000126228291439	0.00013524459797	0.00013524459797	0.000139752751236	0.00016680167083	0.000180326130627	0.000189342437158	0.000211883203486	0.000216391356752	0.000225407663284	0.000225407663284	0.000234423969815	0.000243440276346	0.000243440276346	0.0167838546081	0.0895274157029	0.153250162113
HFD25_2 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.01630653134e-06	1.80326130627e-05	3.60652261254e-05	4.50815326567e-05	7.66386055164e-05	0.000117211984907	0.000144260904501	0.000193850590424	0.000247948429612	0.000306554422066	0.000383193027582	0.000518437625552	0.000608600690865	0.00070778006271	0.000802451281289	0.000919663266197	0.00105941601743	0.00128031552745	0.00150121503747	0.00167703301483	0.00187539175852	0.00206924234894	0.00226760109263	0.00253809028857	0.00274546533879	0.00296185669555	0.00319177251209	0.00339463940905	0.00365611229846	0.00385447104215	0.00402578086624	0.0042015988436	0.00444503911995	0.00462987340384	0.00490036259978	0.00505814796408	0.00522494963491	0.00530609639369	0.0220719183887	0.0957126019834	0.160309930127
HFD35_1 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	8.9848583573e-06	8.9848583573e-06	8.9848583573e-06	8.9848583573e-06	8.9848583573e-06	8.9848583573e-06	8.9848583573e-06	8.9848583573e-06	8.9848583573e-06	8.9848583573e-06	1.3477287536e-05	1.79697167146e-05	3.14470042506e-05	3.59394334292e-05	3.59394334292e-05	4.94167209652e-05	6.28940085011e-05	7.18788668584e-05	7.18788668584e-05	8.08637252157e-05	8.9848583573e-05	8.9848583573e-05	8.9848583573e-05	8.9848583573e-05	9.88334419303e-05	0.000103325871109	0.000112310729466	0.000116803158645	0.000121295587824	0.000125788017002	0.000125788017002	0.000130280446181	0.000143757733717	0.000157235021253	0.000179697167146	0.000193174454682	0.000238098746469	0.000242591175647	0.000247083604826	0.000251576034004	0.000260560892362	0.0423321601504	0.216036426772	0.354470631912
HFD35_2 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	1.79697167146e-05	2.69545750719e-05	2.69545750719e-05	2.69545750719e-05	3.59394334292e-05	3.59394334292e-05	4.04318626079e-05	4.94167209652e-05	7.18788668584e-05	7.63712960371e-05	0.000112310729466	0.000139265304538	0.000184189596325	0.00026505332154	0.000381856480185	0.000476197492937	0.000539091501438	0.00066487951844	0.000808637252157	0.000920947981623	0.00112759972384	0.00133425146606	0.00155438049581	0.00172958523378	0.00194072940518	0.00209796442643	0.00230910859783	0.00251126791087	0.00267748779048	0.00285269252844	0.00304137455395	0.00321208686274	0.00344120075085	0.0035984357721	0.00377364051007	0.00397579982311	0.00417346670697	0.00438011844918	0.00460024747894	0.00484283865459	0.00497311910077	0.0472828171053	0.221822675554	0.360463532437
