Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
HFD14_1	31.6220842073	31.6581350747	35.8517667664	36.3095090609	36.5138614947	40.0889994933	40.1252121469	40.2772088696	40.266254246	40.3255849406	40.2883448146	40.2833975259	40.2601090815	40.2572652376	40.2388084946	40.2176236303	40.1851436517	40.1384051573	40.0837581384	40.0958040737	40.0827466369	40.0853493808	40.0680054248	40.0440970861	40.0175463466	40.0031407525	39.9960600621	39.9767453475	39.9454605377	39.918473842	39.8815592732	39.8442297272	39.8343527	39.790559696	39.7563905731	39.7212344017	39.6967539015	39.6690848258	39.620490709	39.5776155907	39.5684974151	39.5326682929	39.0520842028	39.31425626	39.5636010624	39.5964681366	39.591085794	39.556526643	39.5169215346	39.4690186857	39.4306542231	39.2761338448	39.3706445773	39.3618875555	39.3431264598
HFD14_2	30.5182816928	31.4376611488	35.268883879	35.8823062594	36.1004290986	39.4136851361	39.4445227558	39.5877459444	39.6202520452	39.5875946704	39.6440999735	39.6558849126	39.6267387831	39.6386642136	39.6289102629	39.630013034	39.5774057109	39.572106833	39.5516181993	39.5233717286	39.4745393089	39.4803807974	39.4379905861	39.4434060889	39.4020674873	39.3877482002	39.3279788424	39.2705395923	39.2295569561	39.1705787981	39.1482764097	39.1060584965	39.0520568173	38.986706471	38.9367052303	38.7609714294	38.7405067974	38.7892221861	38.7911797707	38.7138762927	38.6815183981	38.637765051	37.9038231325	38.3305773453	38.6513997023	38.6672028105	38.6676642122	38.6144412808	38.5686344776	38.5007431062	38.4569708104	38.3941508418	38.3754372984	38.253519434	38.1868022975
HFD16_1	31.6934089879	31.7241680675	36.0016653502	36.5073180367	36.552455705	40.2951318123	40.2734753488	40.4133497798	40.4047318886	40.4203985748	40.425670329	40.3662549481	40.2997539758	40.2957111308	40.2625262275	40.2439176709	40.1593446062	40.0893213231	40.0003019098	39.9967632201	39.9740947665	39.919269285	39.8741072054	39.8361604021	39.7856635208	39.7511463194	39.7103449696	39.6546679661	39.5443001468	39.4171072734	39.2417770192	39.0179459526	38.7198366851	38.3674451314	37.9997433677	37.6176752659	37.4228031732	37.1041733734	36.9318476781	36.7017355595	36.6482569601	36.6408699077	34.9782639756	35.8677149117	37.0115123302	37.2217231726	37.3240753048	37.5125605783	37.6746630282	37.718255114	37.8761792454	38.0333022479	38.1000018308	38.2270596346	38.313989597
HFD16_2	30.397970958	31.4378271793	35.2687313084	35.9781906072	36.1860591806	39.5029683459	39.6024777784	39.6606449544	39.705278961	39.7360064945	39.7205569518	39.7165741028	39.7018134601	39.67833414	39.6641465336	39.6702341354	39.6667430117	39.6290493853	39.5973649216	39.5428592096	39.5182706582	39.4889411178	39.4115327567	39.4257992959	39.3841897272	39.3843299124	39.3608027121	39.3189082407	39.2870999258	39.2833469196	39.2560954322	39.2125516754	39.1704182519	39.1598657686	39.0934680506	39.057454493	38.9911504711	39.0110346056	38.9703829543	38.917825072	38.8827568672	38.8653848484	38.0126555758	38.4508898486	38.8688429451	38.9365772242	38.8677236621	38.8051932882	38.7993391191	38.7288058471	38.6547109999	38.535459099	38.5370005531	38.4015448735	38.3484723804
HFD24_1	31.5755713193	31.6692098667	35.8571130848	36.3513178339	36.5243861596	40.1209710706	40.1380625887	40.2906244337	40.2750866653	40.3367790724	40.2990193055	40.2970671179	40.2680822853	40.267740193	40.251060206	40.2300461628	40.2249297688	40.1535376905	40.0999798727	40.1040342322	40.0913900033	40.0926580516	40.0778367491	40.0571346388	40.0277726785	40.0132841224	40.007699039	39.9884940619	39.9612567124	39.935853938	39.8969751137	39.8596700853	39.852085679	39.8068238121	39.7754743578	39.740439861	39.7149928408	39.6868417253	39.6393175438	39.5962421415	39.5916553878	39.557694619	39.0672397009	39.3376048433	39.5831263789	39.6154733952	39.6051283223	39.5762544653	39.5357602181	39.4901627604	39.4550021179	39.4220876267	39.4235304911	39.3996229536	39.3734712514
HFD24_2	30.5249242426	31.4417422404	35.1344316343	35.8568426436	36.1134945247	39.6082362733	39.5251758116	39.6917361228	39.6668787455	39.6761861191	39.6712399811	39.6795326362	39.6648815897	39.6425582774	39.6413453557	39.6218419452	39.5987413065	39.5868273138	39.5621118842	39.5243918935	39.4796893295	39.4699450061	39.4746565962	39.4630683067	39.4245744209	39.4013103437	39.367396349	39.3066170307	39.2594504727	39.2090767266	39.1894218872	39.1485120907	39.0952814209	39.0342227219	38.9886816099	38.953325112	38.9177695533	38.8729738474	38.8548896885	38.7738363153	38.7430765943	38.69463657	37.9710902498	38.391375944	38.7373949377	38.7318233538	38.7272707777	38.6642389421	38.6157122774	38.5561749565	38.5248812158	38.4454247547	38.4488729468	38.3511517316	38.2684368837
HFD25_1	31.5844988412	31.722631813	35.8944002064	36.3446163994	36.4887664034	40.1164225171	40.2378912807	40.3050258876	40.2771540497	40.3387816319	40.2934169421	40.2912054225	40.2627061398	40.2600134199	40.2407560768	40.2250416463	40.2232308113	40.1494350022	40.0900415706	40.100835487	40.0885664127	40.0897270818	40.0708627596	40.0477064951	40.0220248082	40.0075379929	40.0035355192	39.985773215	39.9551945466	39.9299773348	39.8941194387	39.8570145422	39.8479240315	39.8046014901	39.7720642996	39.7375128212	39.7125546929	39.6857452915	39.638019186	39.5956278938	39.5861377803	39.5518319512	39.0740797777	39.3346615405	39.5804306386	39.6102443635	39.6041669221	39.568102778	39.529665587	39.4812381481	39.4433575337	39.3928940324	39.4042875333	39.3823654659	39.3551683633
HFD25_2	30.5547108579	31.3055897674	34.9787505491	35.9092983005	36.1522831632	39.5628746726	38.9168472032	39.44571372	39.4510916764	39.6994994417	39.6292394222	39.7110896783	39.7149571329	39.6719427688	39.7018875908	39.6818243252	39.6579856615	39.6411106972	39.6202467835	39.5768478289	39.5482300269	39.54717291	39.5610102808	39.5404337168	39.510689733	39.4844956044	39.4453733544	39.384568375	39.3396732545	39.2885080141	39.2676358054	39.2280679696	39.1766181746	39.1177397093	39.0698504988	38.96668069	38.9416292881	38.9447279221	38.9339306697	38.8605565081	38.8258613097	38.7846775264	38.0627464157	38.4793084781	38.7924317754	38.8095640652	38.8089528498	38.7569723549	38.7090750748	38.6463743718	38.604699876	38.543168588	38.5290366095	38.4359380151	38.3529473765
HFD35_1	31.7549469732	31.6756843497	36.0126808697	36.4671246728	36.6301751436	40.2927560658	40.2643621164	40.3997609668	40.4066005106	40.4333881919	40.4187937271	40.3789204531	40.3554586968	40.3653071797	40.3566057038	40.355695942	40.3248844817	40.2896349955	40.2671314294	40.2361962476	40.2428510627	40.2498703036	40.2415717536	40.2310445994	40.2135711613	40.1992496565	40.1830277643	40.1683016264	40.1394916331	40.1295264818	40.1176885715	40.0899389263	40.0775809275	40.035577703	40.0193564398	39.992170819	39.9867528147	39.9584961989	39.9374537055	39.9143788372	39.8947343429	39.8854962014	39.4226143135	39.6673388988	39.8773248321	39.9130347922	39.8927799565	39.9041345713	39.8880552687	39.8390492007	39.8186036614	39.8204102468	39.778952538	39.7748110125	39.7488835415
